Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed May 01 2024,SPXW240501C05005000,0,0,99.5,99.9,0,0.1676,0.6434,0.0022,0,5005.00,SPXW240501P05005000,40.49,-2.31,41,41.4,11,0.1677,-0.3567,0.0022,9
Wed May 01 2024,SPXW240501C05010000,213.32,0,96.1,96.6,0,0.1669,0.6327,0.0022,7,5010.00,SPXW240501P05010000,50,0,42.5,42.9,0,0.167,-0.3674,0.0022,19
Wed May 01 2024,SPXW240501C05015000,0,0,92.7,93.1,0,0.166,0.6218,0.0023,0,5015.00,SPXW240501P05015000,50.82,0,44.1,44.5,0,0.1662,-0.3783,0.0023,33
Wed May 01 2024,SPXW240501C05020000,104.47,0,89.3,89.8,0,0.1653,0.6107,0.0023,22,5020.00,SPXW240501P05020000,46.62,-0.83,45.8,46.2,1,0.1655,-0.3894,0.0023,31
Wed May 01 2024,SPXW240501C05025000,100.98,0,86.1,86.6,0,0.1644,0.5994,0.0024,22,5025.00,SPXW240501P05025000,47.5,0,47.5,47.9,0,0.1646,-0.4006,0.0024,306
Wed May 01 2024,SPXW240501C05030000,90.4,0,82.9,83.4,0,0.1636,0.588,0.0024,1,5030.00,SPXW240501P05030000,46.5,-4.3,49.3,49.7,4,0.1636,-0.4121,0.0024,10
Wed May 01 2024,SPXW240501C05035000,83.19,-5.81,79.8,80.2,2,0.1628,0.5764,0.0024,11,5035.00,SPXW240501P05035000,50.51,-2.04,51.1,51.5,12,0.163,-0.4237,0.0024,202
Wed May 01 2024,SPXW240501C05040000,94.34,0,76.7,77.1,0,0.1619,0.5646,0.0024,1,5040.00,SPXW240501P05040000,52,-2.35,53,53.4,1,0.162,-0.4355,0.0024,84
Wed May 01 2024,SPXW240501C05045000,81,0,73.6,74.1,0,0.1612,0.5526,0.0024,13,5045.00,SPXW240501P05045000,55.47,-0.73,54.9,55.4,5,0.1612,-0.4474,0.0024,29
Wed May 01 2024,SPXW240501C05050000,73,-6.6,70.6,71,1,0.1603,0.5406,0.0025,10,5050.00,SPXW240501P05050000,56.64,-1.51,56.9,57.4,28,0.1604,-0.4595,0.0025,932
Wed May 01 2024,SPXW240501C05055000,70.91,0,67.7,68.2,0,0.1596,0.5283,0.0025,3,5055.00,SPXW240501P05055000,57.95,-2.15,59,59.4,1,0.1597,-0.4718,0.0025,43
Wed May 01 2024,SPXW240501C05060000,67.6,-6.05,64.8,65.3,22,0.1587,0.5159,0.0025,55,5060.00,SPXW240501P05060000,60,-2.15,61.1,61.6,4,0.1588,-0.4842,0.0025,115
Wed May 01 2024,SPXW240501C05065000,71.78,0,62,62.4,0,0.1579,0.5034,0.0025,10,5065.00,SPXW240501P05065000,62.13,-2.07,63.3,63.8,3,0.1581,-0.4967,0.0025,58
