,0
3,1200.0
28,1400.0
64,1600.0
102,1800.0
141,2000.0
157,2100.0
184,2200.0
200,2300.0
227,2400.0
243,2500.0
270,2600.0
288,2700.0
317,2800.0
336,2900.0
366,3000.0
387,3100.0
423,3200.0
447,3300.0
487,3400.0
506,3450.0
517,3500.0
530,3550.0
560,3600.0
580,3650.0
594,3700.0
609,3750.0
619,3775.0
646,3800.0
665,3825.0
675,3850.0
685,3860.0
688,3870.0
691,3875.0
696,3880.0
699,3890.0
722,3900.0
738,3910.0
741,3920.0
744,3925.0
749,3930.0
752,3940.0
758,3950.0
769,3960.0
772,3970.0
775,3975.0
782,3980.0
785,3990.0
808,4000.0
824,4010.0
827,4020.0
830,4025.0
837,4030.0
840,4040.0
863,4050.0
876,4060.0
879,4070.0
882,4075.0
889,4080.0
892,4090.0
915,4100.0
931,4110.0
934,4120.0
937,4125.0
944,4130.0
948,4140.0
972,4150.0
989,4160.0
993,4170.0
997,4175.0
1004,4180.0
1009,4190.0
1034,4200.0
1051,4210.0
1056,4220.0
1061,4225.0
1069,4230.0
1074,4240.0
1099,4250.0
1116,4260.0
1121,4270.0
1128,4275.0
1136,4280.0
1141,4290.0
1166,4300.0
1183,4310.0
1188,4320.0
1199,4325.0
1207,4330.0
1213,4340.0
1238,4350.0
1256,4360.0
1262,4370.0
1273,4375.0
1285,4380.0
1294,4390.0
1320,4400.0
1340,4410.0
1349,4420.0
1361,4425.0
1373,4430.0
1382,4440.0
1409,4450.0
1429,4460.0
1439,4470.0
1456,4475.0
1468,4480.0
1479,4490.0
1507,4500.0
1527,4510.0
1539,4520.0
1557,4525.0
1569,4530.0
1581,4540.0
1610,4550.0
1631,4560.0
1644,4570.0
1666,4575.0
1679,4580.0
1692,4590.0
1722,4600.0
1738,4605.0
1745,4610.0
1752,4615.0
1761,4620.0
1783,4625.0
1798,4630.0
1805,4635.0
1816,4640.0
1824,4645.0
1848,4650.0
1864,4655.0
1875,4660.0
1883,4665.0
1898,4670.0
1922,4675.0
1944,4680.0
1953,4685.0
1969,4690.0
1978,4695.0
2002,4700.0
2019,4705.0
2035,4710.0
2044,4715.0
2061,4720.0
2087,4725.0
2112,4730.0
2127,4735.0
2147,4740.0
2163,4745.0
2187,4750.0
2210,4755.0
2230,4760.0
2246,4765.0
2267,4770.0
2295,4775.0
2324,4780.0
2345,4785.0
2368,4790.0
2389,4795.0
2414,4800.0
2442,4805.0
2465,4810.0
2486,4815.0
2509,4820.0
2538,4825.0
2570,4830.0
2595,4835.0
2621,4840.0
2647,4845.0
2673,4850.0
2705,4855.0
2731,4860.0
2757,4865.0
2783,4870.0
2814,4875.0
2848,4880.0
2877,4885.0
2903,4890.0
2932,4895.0
2958,4900.0
2992,4905.0
3018,4910.0
3048,4915.0
3074,4920.0
3106,4925.0
3142,4930.0
3172,4935.0
3198,4940.0
3228,4945.0
3254,4950.0
3288,4955.0
3314,4960.0
3344,4965.0
3370,4970.0
3402,4975.0
3438,4980.0
3468,4985.0
3494,4990.0
3524,4995.0
3550,5000.0
3584,5005.0
3610,5010.0
3641,5015.0
3667,5020.0
3701,5025.0
3737,5030.0
3769,5035.0
3795,5040.0
3827,5045.0
3853,5050.0
3887,5055.0
3913,5060.0
3945,5065.0
3971,5070.0
4005,5075.0
4041,5080.0
4073,5085.0
4099,5090.0
4131,5095.0
4157,5100.0
4191,5105.0
4217,5110.0
4249,5115.0
4275,5120.0
4309,5125.0
4345,5130.0
4377,5135.0
4403,5140.0
4434,5145.0
4459,5150.0
4493,5155.0
4518,5160.0
4548,5165.0
4573,5170.0
4604,5175.0
4639,5180.0
4667,5185.0
4692,5190.0
4717,5195.0
4742,5200.0
4772,5205.0
4797,5210.0
4820,5215.0
4843,5220.0
4871,5225.0
4901,5230.0
4919,5235.0
4941,5240.0
4958,5245.0
4982,5250.0
5006,5255.0
5024,5260.0
5040,5265.0
5057,5270.0
5083,5275.0
5107,5280.0
5121,5285.0
5138,5290.0
5150,5295.0
5174,5300.0
5193,5305.0
5208,5310.0
5217,5315.0
5230,5320.0
5251,5325.0
5268,5330.0
5277,5335.0
5288,5340.0
5296,5345.0
5320,5350.0
5333,5355.0
5341,5360.0
5349,5365.0
5356,5370.0
5373,5375.0
5385,5380.0
5392,5385.0
5399,5390.0
5406,5395.0
5430,5400.0
5446,5405.0
5453,5410.0
5459,5415.0
5466,5420.0
5477,5425.0
5489,5430.0
5494,5435.0
5500,5440.0
5505,5445.0
5522,5450.0
5533,5455.0
5539,5460.0
5544,5465.0
5549,5470.0
5560,5475.0
5571,5480.0
5576,5485.0
5581,5490.0
5586,5495.0
5609,5500.0
5625,5505.0
5629,5510.0
5636,5520.0
5643,5525.0
5653,5530.0
5660,5540.0
5669,5550.0
5681,5560.0
5686,5570.0
5692,5575.0
5700,5580.0
5705,5590.0
5730,5600.0
5747,5610.0
5752,5620.0
5758,5625.0
5765,5630.0
5769,5640.0
5776,5650.0
5785,5660.0
5788,5670.0
5793,5675.0
5800,5680.0
5803,5690.0
5826,5700.0
5840,5710.0
5843,5720.0
5852,5730.0
5855,5740.0
5859,5750.0
5897,5800.0
5924,5850.0
5942,5900.0
5976,6000.0
5996,6100.0
6026,6200.0
6044,6300.0
6071,6400.0
6085,6500.0
6110,6600.0
