,0
288,0.125
317,0.15
336,0.15000000000000002
366,0.22499999999999998
387,0.275
423,0.325
447,0.375
487,0.47500000000000003
506,0.5
517,0.55
530,0.6
560,0.675
580,0.7250000000000001
594,0.7749999999999999
609,0.875
619,0.925
646,0.95
665,0.9750000000000001
675,1.025
685,1.0499999999999998
688,1.075
691,1.075
696,1.075
699,1.1
722,1.125
738,1.15
741,1.15
744,1.175
749,1.2000000000000002
752,1.2000000000000002
758,1.225
769,1.25
772,1.25
775,1.2999999999999998
782,1.2999999999999998
785,1.2999999999999998
808,1.35
824,1.35
827,1.4
830,1.4
837,1.4
840,1.4500000000000002
863,1.475
876,1.5
879,1.5
882,1.5499999999999998
889,1.5499999999999998
892,1.575
915,1.65
931,1.65
934,1.65
937,1.7000000000000002
944,1.7000000000000002
948,1.75
972,1.775
989,1.7999999999999998
993,1.85
997,1.85
1004,1.85
1009,1.9
1034,1.95
1051,1.975
1056,2.025
1061,2.05
1069,2.05
1074,2.1
1099,2.15
1116,2.2
1121,2.25
1128,2.25
1136,2.3
1141,2.35
1166,2.4
1183,2.45
1188,2.5
1199,2.525
1207,2.55
1213,2.6
1238,2.7
1256,2.75
1262,2.8
1273,2.85
1285,2.875
1294,2.975
1320,3.075
1340,3.15
1349,3.2
1361,3.25
1373,3.3
1382,3.4
1409,3.5
1429,3.6
1439,3.75
1456,3.8
1468,3.85
1479,3.9499999999999997
1507,4.15
1527,4.25
1539,4.449999999999999
1557,4.5
1569,4.6
1581,4.75
1610,4.949999999999999
1631,5.15
1644,5.4
1666,5.550000000000001
1679,5.65
1692,5.85
1722,6.2
1738,6.35
1745,6.5
1752,6.65
1761,6.8
1783,6.949999999999999
1798,7.1
1805,7.3
1816,7.5
1824,7.65
1848,7.85
1864,8.100000000000001
1875,8.3
1883,8.5
1898,8.8
1922,8.95
1944,9.15
1953,9.5
1969,9.7
1978,10.0
2002,10.25
2019,10.55
2035,10.899999999999999
2044,11.15
2061,11.5
2087,11.85
2112,12.15
2127,12.55
2147,12.95
2163,13.3
2187,13.7
2210,14.100000000000001
2230,14.55
2246,14.95
2267,15.45
2295,15.9
2324,16.45
2345,16.9
2368,17.45
2389,17.95
2414,18.6
2442,19.1
2465,19.75
2486,20.35
2509,20.95
2538,21.7
2570,22.3
2595,23.05
2621,23.75
2647,24.5
2673,25.3
2705,26.05
2731,26.9
2757,27.7
2783,28.549999999999997
2814,29.5
2848,30.4
2877,31.4
2903,32.35
2932,33.35
2958,34.400000000000006
2992,35.45
3018,36.599999999999994
3048,37.65
3074,38.85
3106,40.099999999999994
3142,41.25
3172,42.55
3198,43.85
3228,45.2
3254,46.65
3288,47.95
3314,49.45
3344,50.9
3370,52.55
3402,54.099999999999994
3438,55.75
3468,57.3
3494,59.099999999999994
3524,60.75
3550,62.65
3584,64.5
3610,66.4
3641,68.19999999999999
3667,70.3
3701,72.30000000000001
3737,74.35
3738,78.4
3795,77.4
3827,74.7
3853,72.0
3887,69.5
3913,66.95
3945,64.45
3971,61.900000000000006
4005,59.5
4041,57.3
4073,55.0
4099,52.8
4131,50.5
4157,48.35
4191,46.35
4217,44.35
4249,42.55
4275,40.65
4309,38.85
4345,36.900000000000006
4377,35.35
4403,33.55
4434,32.1
4459,30.4
4493,29.1
4518,27.65
4548,26.25
4573,24.8
4604,23.55
4639,22.3
4667,21.1
4692,20.1
4717,18.9
4742,17.9
4772,16.9
4797,15.9
4820,15.100000000000001
4843,14.25
4871,13.35
4901,12.65
4919,11.8
4941,11.100000000000001
4958,10.45
4982,9.75
5006,9.2
5024,8.600000000000001
5040,8.05
5057,7.5
5083,7.050000000000001
5107,6.6
5121,6.15
5138,5.75
5150,5.4
5174,5.0
5193,4.7
5208,4.35
5217,4.05
5230,3.8
5251,3.5
5268,3.3
5277,3.075
5288,2.875
5296,2.675
5320,2.4749999999999996
5333,2.325
5341,2.15
5349,2.0
5356,1.9
5373,1.75
5385,1.65
5392,1.525
5399,1.425
5406,1.325
5430,1.25
5446,1.15
5453,1.1
5459,1.0
5466,0.95
5477,0.9
5489,0.825
5494,0.7749999999999999
5500,0.7250000000000001
5505,0.7
5522,0.65
5533,0.6
5539,0.575
5544,0.525
5549,0.525
5560,0.47500000000000003
5571,0.45
5576,0.425
5581,0.4
5586,0.4
5609,0.375
5625,0.35
5629,0.325
5636,0.30000000000000004
5643,0.275
5653,0.275
5660,0.25
5669,0.22499999999999998
5681,0.2
5686,0.2
5692,0.2
5700,0.175
5705,0.175
5730,0.15
5747,0.15
5752,0.15
5758,0.15
5765,0.125
5769,0.125
5776,0.125
5785,0.125
5788,0.125
5826,0.15000000000000002
