expiration_date,strike,bid,ask,bid.1,ask.1
2022-10-21,800,1160.90,1164.40,0.00,0.10
2022-10-21,900,1060.90,1064.50,0.00,0.10
2022-10-21,1000,961.00,964.50,0.00,0.10
2022-10-21,1050,911.00,914.50,0.00,0.10
2022-10-21,1100,861.00,864.60,0.00,0.05
2022-10-21,1125,836.00,839.60,0.00,0.05
2022-10-21,1150,811.00,814.60,0.00,0.05
2022-10-21,1175,786.10,789.60,0.00,0.05
2022-10-21,1200,761.10,764.60,0.00,0.05
2022-10-21,1220,741.10,744.60,0.00,0.10
2022-10-21,1225,736.10,739.60,0.00,0.05
2022-10-21,1240,721.10,724.60,0.00,0.10
2022-10-21,1250,711.10,714.60,0.00,0.05
2022-10-21,1260,701.10,704.60,0.00,0.10
2022-10-21,1270,691.10,694.60,0.00,0.10
2022-10-21,1275,686.10,689.60,0.00,0.10
2022-10-21,1280,681.10,684.60,0.00,0.10
2022-10-21,1290,671.10,674.70,0.00,0.10
2022-10-21,1300,661.10,664.70,0.05,0.10
2022-10-21,1305,656.10,659.70,0.00,0.10
2022-10-21,1310,651.10,654.70,0.00,0.10
2022-10-21,1315,646.10,649.70,0.00,0.10
2022-10-21,1320,641.20,644.70,0.00,0.10
2022-10-21,1325,636.20,639.70,0.05,0.10
2022-10-21,1330,631.20,634.70,0.00,0.10
2022-10-21,1335,626.20,629.70,0.00,0.15
2022-10-21,1340,621.20,624.70,0.00,0.15
2022-10-21,1345,616.20,619.70,0.00,0.15
2022-10-21,1350,611.20,614.70,0.05,0.15
2022-10-21,1355,606.20,609.70,0.05,0.35
2022-10-21,1360,601.20,604.70,0.00,0.35
2022-10-21,1365,596.20,599.70,0.00,0.35
2022-10-21,1370,591.20,594.70,0.05,0.35
2022-10-21,1375,586.20,589.70,0.10,0.15
2022-10-21,1380,581.20,584.70,0.10,0.20
2022-10-21,1385,576.20,579.70,0.10,0.35
2022-10-21,1390,571.20,574.70,0.10,0.35
2022-10-21,1395,566.20,569.70,0.10,0.15
2022-10-21,1400,561.20,564.80,0.10,0.15
2022-10-21,1405,556.20,559.80,0.00,0.35
2022-10-21,1410,551.20,554.80,0.05,0.40
2022-10-21,1415,546.20,549.80,0.00,0.40
2022-10-21,1420,541.20,544.80,0.05,0.40
2022-10-21,1425,536.30,539.80,0.15,0.20
2022-10-21,1430,531.30,534.80,0.05,0.40
2022-10-21,1435,526.30,529.80,0.15,0.40
2022-10-21,1440,521.30,524.80,0.05,0.30
2022-10-21,1445,516.30,519.80,0.05,0.40
2022-10-21,1450,511.30,514.80,0.15,0.25
2022-10-21,1455,506.30,509.80,0.05,0.45
2022-10-21,1460,501.30,504.80,0.05,0.45
2022-10-21,1465,496.30,499.80,0.05,0.45
2022-10-21,1470,491.30,494.80,0.05,0.45
2022-10-21,1475,486.30,489.90,0.15,0.25
2022-10-21,1480,481.30,484.90,0.05,0.45
2022-10-21,1485,476.30,479.90,0.20,0.50
2022-10-21,1490,471.30,474.90,0.05,0.30
2022-10-21,1495,466.40,469.90,0.05,0.50
2022-10-21,1500,461.40,464.90,0.25,0.40
2022-10-21,1505,456.40,459.90,0.30,0.35
2022-10-21,1510,451.40,454.90,0.05,0.55
2022-10-21,1515,446.40,449.90,0.05,0.55
2022-10-21,1520,441.40,445.00,0.10,0.60
2022-10-21,1525,436.40,440.00,0.30,0.40
2022-10-21,1530,431.40,435.00,0.05,0.60
2022-10-21,1535,426.40,430.00,0.10,0.65
2022-10-21,1540,421.40,425.00,0.10,0.65
2022-10-21,1545,416.50,420.00,0.10,0.65
2022-10-21,1550,411.50,415.00,0.30,0.70
2022-10-21,1555,406.50,410.10,0.15,0.70
2022-10-21,1560,401.50,405.10,0.15,0.70
2022-10-21,1565,396.50,400.10,0.15,0.70
2022-10-21,1570,391.50,395.10,0.20,0.75
2022-10-21,1575,386.50,390.10,0.35,0.75
2022-10-21,1580,381.50,385.10,0.25,0.80
2022-10-21,1585,376.60,380.20,0.25,0.80
2022-10-21,1590,371.60,375.20,0.25,0.80
2022-10-21,1595,366.60,370.20,0.25,0.80
2022-10-21,1600,361.60,365.20,0.50,0.85
2022-10-21,1605,356.60,360.30,0.30,0.85
2022-10-21,1610,351.60,355.30,0.35,0.90
2022-10-21,1615,346.70,350.30,0.35,0.90
2022-10-21,1620,341.70,345.30,0.35,0.90
2022-10-21,1625,336.70,340.40,0.40,0.95
2022-10-21,1630,331.70,335.40,0.40,0.95
2022-10-21,1635,326.70,330.40,0.45,1.00
2022-10-21,1640,321.80,325.40,0.45,1.00
2022-10-21,1645,316.80,320.50,0.50,1.05
2022-10-21,1650,311.80,315.50,0.50,0.85
2022-10-21,1655,306.80,310.50,0.55,1.10
2022-10-21,1660,301.90,305.60,0.55,1.10
2022-10-21,1665,296.90,300.60,0.60,1.15
2022-10-21,1670,291.90,295.70,0.60,1.15
